Symbol,Status,MarketOrFill,Price,TIF,Time,TimeStampAtType,Order #,Description
ETHA,Filled,1.06 cr,1.06 cr,Day,8:46:07p,Fill,#395388728,-2 Aug 15 30d 23 Put STO
ETHA,Filled,0.15 db,0.15 db,GTC,7/15 4:20p,Fill,#394950073,2 Aug 15 30d 16 Put BTC
ETHA,Filled,1.74 cr,1.74 cr,Day,7/14 6:11p,Fill,#394744882,-2 Sep 19 65d 21 Put STO
IBIT,Filled,2.42 cr,2.42 cr,Day,7/14 6:05p,Fill,#394745206,-1 Aug 29 44d 65 Put STO
XOP,Filled,2.11 cr,2.11 cr,Day,7/11 5:15p,Fill,#394441967,-1 Aug 15 30d 128 Put STO
GOOGL,Filled,0.73 db,0.73 db,GTC,7/11 4:45p,Fill,#392514930,1 Aug 15 30d 150 Put BTC
ETHA,Filled,1.07 cr,1.07 cr,Day,7/11 4:31p,Fill,#394412985,-2 Aug 15 30d 21 Put STO
ETHA,Filled,1.85 cr,1.85 cr,Day,7/10 4:01p,Fill,#394099410,-2 Sep 19 65d 20 Put STO
IBIT,Filled,2.19 cr,2.19 cr,Day,7/10 3:54p,Fill,#394094920,-1 Aug 22 37d 60.5 Put STO
ETHA,Filled,0.05 db,0.05 db,GTC,7/10 3:30p,Fill,#389828663,2 Jul 18 2d 17 Put BTC
IBIT,Filled,0.88 db,0.88 db,GTC,7/09 9:54p,Fill,#391438080,1 Aug 15 30d 57 Put BTC
IBIT,Filled,1.99 cr,1.99 cr,Day,7/09 3:51p,Fill,#393838326,-1 Aug 22 37d 59.5 Put STO
IBIT,Filled,0.22 db,0.22 db,GTC,7/09 3:30p,Fill,#392514418,1 Jul 18 2d 58 Put BTC
PLTR,Filled,2.74 cr,2.74 cr,Day,7/08 5:24p,Fill,#393666003,-1 Aug 15 30d 110 Put STO
AMZN,Filled,1.60 cr,1.60 cr,Day,7/08 5:23p,Fill,#393666434,-1 Aug 15 30d 190 Put STO
CRCL,Filled,3.20 db,3.20 db,GTC,7/07 3:30p,Fill,#391437330,1 Aug 15 30d 125 Put BTC
